,country,device_type,traffic_source,payment_method,product_category,customer_age_days,previous_orders,avg_order_value_eur,order_value_eur,quantity,discount_rate,shipping_distance_km,delivery_days_estimated,late_delivery_risk,address_mismatch,high_risk_ip,review_score
0,Belgium,Mobile,Paid Ads,Credit Card,Sports,381,3,28.66,33.71,2,0.12,105.7,5,0,0,0,4.4
1,Netherlands,Desktop,Email,Debit Card,Garden,561,6,41.93,73.29,3,0.03,528.2,4,0,0,0,4.8
2,Netherlands,Mobile,Organic Search,Debit Card,Garden,324,2,102.67,55.49,1,0.05,175.1,5,0,0,0,3.3
3,Netherlands,Mobile,Organic Search,Klarna,Electronics,378,3,72.71,112.54,5,0.22,271.4,3,0,0,0,4.2
4,Netherlands,Desktop,Direct,Bank Transfer,Home & Kitchen,447,5,52.26,55.32,8,0.25,285.3,3,0,1,0,5.0
5,Netherlands,Mobile,Organic Search,Credit Card,Home & Kitchen,334,1,22.84,38.26,1,0.35,670.0,5,0,0,0,4.4
6,Netherlands,Mobile,Social Media,Debit Card,Pet Supplies,102,1,84.27,36.36,1,0.03,201.2,3,0,0,0,3.7
7,Italy,Mobile,Marketplace,Credit Card,Electronics,9,0,70.55,141.55,2,0.13,720.0,5,0,0,0,4.5
8,Netherlands,Desktop,Direct,Credit Card,Electronics,46,0,21.65,25.37,2,0.17,374.4,4,0,0,0,5.0
9,Netherlands,Mobile,Social Media,Klarna,Garden,663,6,15.68,19.06,1,0.17,136.3,4,0,0,0,4.2
10,Germany,Desktop,Social Media,Credit Card,Electronics,33,0,47.71,93.8,4,0.13,411.9,5,0,0,1,4.8
11,Turkey,Desktop,Email,Credit Card,Garden,51,0,24.95,48.03,5,0.13,87.8,5,0,0,0,4.6
12,France,Mobile,Organic Search,Klarna,Beauty,934,4,64.38,60.15,1,0.13,595.5,6,0,0,0,4.8
13,Belgium,Mobile,Social Media,Debit Card,Sports,829,1,13.12,8.46,1,0.05,73.8,4,0,0,0,4.6
14,Germany,Mobile,Paid Ads,Klarna,Pet Supplies,330,3,44.51,47.91,7,0.1,258.1,3,0,0,0,5.0
15,Belgium,Mobile,Email,Credit Card,Electronics,460,6,53.62,75.78,1,0.02,299.5,3,0,0,0,3.4
16,Spain,Tablet,Marketplace,Debit Card,Sports,276,1,34.32,19.56,3,0.16,64.6,3,0,0,0,4.6
17,Netherlands,Mobile,Organic Search,Debit Card,Electronics,104,2,54.96,136.02,2,0.37,359.1,4,0,0,0,4.2
18,Germany,Desktop,Marketplace,Credit Card,Pet Supplies,313,2,28.61,33.43,1,0.03,560.3,6,1,0,0,3.4
19,Italy,Mobile,Social Media,Credit Card,Garden,252,0,32.54,31.42,3,0.02,1234.6,6,1,0,0,3.9
20,Germany,Tablet,Direct,PayPal,Pet Supplies,558,3,44.21,46.38,1,0.11,110.8,4,0,0,0,4.3
21,Germany,Mobile,Organic Search,Debit Card,Toys,186,1,33.54,48.11,6,0.07,309.9,5,0,0,0,4.3
22,Germany,Mobile,Paid Ads,Credit Card,Sports,305,0,30.93,22.03,1,0.16,514.0,3,0,0,1,4.4
23,Belgium,Desktop,Direct,PayPal,Fashion,349,3,63.31,70.59,1,0.31,304.9,4,0,0,0,4.4
24,Netherlands,Mobile,Paid Ads,Bank Transfer,Electronics,326,2,20.77,45.24,1,0.13,114.3,4,0,0,0,3.5
25,Netherlands,Tablet,Social Media,Debit Card,Fashion,112,2,50.13,32.86,2,0.03,341.9,5,0,0,0,4.6
26,Netherlands,Mobile,Marketplace,PayPal,Electronics,862,7,50.0,47.29,8,0.2,273.8,3,0,0,0,4.8
27,Poland,Desktop,Organic Search,Debit Card,Garden,31,0,21.83,22.53,1,0.05,477.0,4,0,0,0,4.5
28,Germany,Mobile,Email,Klarna,Electronics,546,4,64.94,213.48,2,0.01,514.2,4,0,0,1,4.9
29,Belgium,Mobile,Direct,PayPal,Pet Supplies,104,0,133.22,127.14,1,0.0,349.0,3,0,0,0,4.0
30,Turkey,Mobile,Social Media,Bank Transfer,Home & Kitchen,96,0,77.18,104.94,1,0.13,242.3,5,0,0,0,4.5
31,Germany,Mobile,Social Media,Klarna,Electronics,612,4,25.03,97.47,1,0.02,414.4,5,0,0,0,3.8
32,France,Desktop,Paid Ads,PayPal,Sports,128,0,39.61,49.86,1,0.12,874.1,5,0,0,0,4.2
33,Netherlands,Desktop,Social Media,Credit Card,Fashion,380,1,74.26,62.67,2,0.11,137.5,4,0,0,0,4.7
34,Belgium,Mobile,Paid Ads,Debit Card,Beauty,299,0,17.72,25.1,7,0.04,321.6,2,0,0,0,5.0
35,Belgium,Desktop,Marketplace,Credit Card,Home & Kitchen,63,2,64.05,94.27,2,0.29,1153.0,6,1,0,0,2.2
36,Belgium,Desktop,Email,Debit Card,Garden,402,2,30.65,29.39,2,0.18,255.2,3,0,0,0,5.0
37,Netherlands,Desktop,Paid Ads,Gift Card,Sports,552,2,21.05,19.86,4,0.02,168.6,4,0,0,0,3.9
38,Poland,Mobile,Social Media,Debit Card,Home & Kitchen,340,2,47.34,32.19,2,0.2,153.3,3,0,0,0,4.5
39,Spain,Mobile,Marketplace,PayPal,Home & Kitchen,490,5,30.49,20.79,1,0.2,615.6,4,0,0,0,5.0
40,France,Mobile,Marketplace,Credit Card,Toys,505,0,28.91,23.26,3,0.06,398.7,4,0,0,0,5.0
41,France,Mobile,Social Media,Klarna,Home & Kitchen,574,7,20.48,16.81,1,0.01,445.9,4,0,0,0,3.9
42,Netherlands,Mobile,Paid Ads,Debit Card,Fashion,251,3,67.97,81.99,2,0.22,254.2,4,0,0,0,4.0
43,France,Desktop,Paid Ads,Credit Card,Electronics,1235,6,34.46,59.28,4,0.46,601.5,4,0,0,0,4.3
44,Turkey,Mobile,Organic Search,PayPal,Toys,225,3,42.08,19.43,1,0.06,136.8,3,0,0,0,4.5
45,Netherlands,Mobile,Direct,Credit Card,Electronics,149,0,63.25,126.17,2,0.0,694.4,4,0,0,0,3.4
46,Netherlands,Mobile,Email,PayPal,Beauty,223,1,28.44,6.38,1,0.16,410.4,5,0,0,0,4.6
47,Spain,Mobile,Social Media,Debit Card,Sports,381,1,44.4,42.8,3,0.04,493.4,3,0,0,0,5.0
48,Poland,Mobile,Email,Klarna,Fashion,338,3,25.9,34.17,2,0.07,242.2,4,0,0,0,5.0
49,France,Desktop,Paid Ads,Credit Card,Fashion,568,4,97.72,88.25,1,0.13,181.2,4,0,0,1,4.1
50,Netherlands,Desktop,Organic Search,Credit Card,Garden,78,1,28.08,19.4,2,0.26,789.8,5,0,0,0,3.6
51,France,Mobile,Organic Search,Debit Card,Electronics,214,0,50.51,145.36,6,0.04,157.9,4,0,0,0,4.3
52,Netherlands,Mobile,Email,Credit Card,Fashion,296,4,48.1,68.33,7,0.03,865.5,5,0,0,0,4.4
53,Italy,Mobile,Paid Ads,Credit Card,Fashion,160,0,47.04,25.42,1,0.03,338.6,5,0,0,0,4.8
54,Spain,Mobile,Organic Search,Credit Card,Garden,575,6,24.73,16.26,1,0.05,296.4,4,0,0,0,5.0
55,Turkey,Mobile,Paid Ads,PayPal,Electronics,713,6,28.42,53.63,1,0.1,1466.9,5,0,0,1,3.8
56,Netherlands,Desktop,Direct,Debit Card,Beauty,581,4,40.31,36.65,1,0.19,614.7,5,0,0,0,3.0
57,Turkey,Mobile,Paid Ads,Gift Card,Pet Supplies,1115,4,59.04,52.02,1,0.28,832.0,3,0,0,0,4.0
58,Belgium,Desktop,Organic Search,Debit Card,Beauty,684,4,35.28,22.63,1,0.08,431.2,3,0,0,0,4.4
59,Netherlands,Desktop,Paid Ads,PayPal,Home & Kitchen,568,5,29.35,62.08,3,0.16,275.8,3,0,0,0,5.0
